id,name,asset_mode,filter,basket_size,exit_protocol,composite_score,full_ret,full_alpha,full_xirr,one_yr_ret,one_yr_alpha,one_yr_xirr,bear_ret,bear_alpha,bear_xirr,bull_ret,full_pr,full_dd
SIP_0739,SIP_0739: MOMENTUM_RO | MULTI_LOOKBACK | 5Stk | DYNAMIC_ATR,MOMENTUM_ROTATE_DYNAMIC,MULTI_LOOKBACK_BLEND,5,DYNAMIC_ATR,10.69,10.22,-7.52,7.4,7.76,10.21,17.4,-19.06,1.19,14.5,13.23,2.0,12.8
SIP_0600,SIP_0600: TACTICAL_MA | SECTOR_LEAD_AL | 8Stk | TIME_DECAY_M,TACTICAL_MACRO_80_20,SECTOR_LEAD_ALPHA,8,TIME_DECAY_MOMENTUM,10.69,9.48,-8.27,6.9,8.8,11.25,19.9,-18.58,1.67,14.5,12.83,2.4,14.0
SIP_1000,SIP_1000: MULTI_ASSET | SECTOR_LEAD_AL | 8Stk | TIME_DECAY_M,MULTI_ASSET_BALANCED,SECTOR_LEAD_ALPHA,8,TIME_DECAY_MOMENTUM,10.69,9.48,-8.27,6.9,8.8,11.25,19.9,-18.58,1.67,14.5,12.83,2.4,14.0
SIP_0151,SIP_0151: PURE_STOCKS | 52W_HIGH_PROXI | 3Stk | VAN_THARP_3T,PURE_STOCKS,52W_HIGH_PROXIMITY,3,VAN_THARP_3TIER,10.68,-5.8,-23.55,-4.4,16.28,18.73,37.7,-20.79,-0.54,14.5,23.18,0.34,12.9
SIP_0157,SIP_0157: PURE_STOCKS | 52W_HIGH_PROXI | 4Stk | SMART_STEPLA,PURE_STOCKS,52W_HIGH_PROXIMITY,4,SMART_STEPLADDER,10.63,8.94,-8.8,6.5,6.28,8.73,14.0,-13.35,6.9,14.5,16.38,2.23,12.8
SIP_0057,SIP_0057: PURE_STOCKS | MOM_HURDLE_20 | 4Stk | SMART_STEPLA,PURE_STOCKS,MOM_HURDLE_20,4,SMART_STEPLADDER,10.62,4.36,-13.39,3.2,13.87,16.32,31.9,-17.85,2.4,14.5,12.58,2.33,14.8
SIP_0969,SIP_0969: MULTI_ASSET | 52W_HIGH_PROXI | 6Stk | DYNAMIC_ATR,MULTI_ASSET_BALANCED,52W_HIGH_PROXIMITY,6,DYNAMIC_ATR,10.61,12.3,-5.44,8.9,2.79,5.24,6.2,-14.39,5.86,14.5,16.44,2.87,11.1
SIP_0769,SIP_0769: MOMENTUM_RO | 52W_HIGH_PROXI | 6Stk | DYNAMIC_ATR,MOMENTUM_ROTATE_DYNAMIC,52W_HIGH_PROXIMITY,6,DYNAMIC_ATR,10.61,12.3,-5.44,8.9,2.79,5.24,6.2,-14.39,5.86,14.5,16.44,2.87,11.1
SIP_0569,SIP_0569: TACTICAL_MA | 52W_HIGH_PROXI | 6Stk | DYNAMIC_ATR,TACTICAL_MACRO_80_20,52W_HIGH_PROXIMITY,6,DYNAMIC_ATR,10.61,12.3,-5.44,8.9,2.79,5.24,6.2,-14.39,5.86,14.5,16.44,2.87,11.1
SIP_0374,SIP_0374: TACTICAL_MA | 52W_HIGH_PROXI | 8Stk | DYNAMIC_ATR,TACTICAL_MACRO_90_10,52W_HIGH_PROXIMITY,8,DYNAMIC_ATR,10.59,14.14,-3.61,10.2,2.33,4.78,5.1,-14.25,6.0,14.5,14.6,2.92,11.0
SIP_0218,SIP_0218: TACTICAL_MA | CLENOW_MOMENTU | 6Stk | ADAPTIVE_STR,TACTICAL_MACRO_90_10,CLENOW_MOMENTUM,6,ADAPTIVE_STRUCTURAL,10.55,7.33,-10.42,5.4,9.52,11.97,21.5,-18.13,2.12,14.5,13.84,1.79,9.8
