id,name,asset_mode,filter,basket_size,exit_protocol,booster,composite_score,full_ret,full_alpha,full_xirr,one_yr_ret,one_yr_alpha,one_yr_xirr,bear_ret,bear_alpha,bear_xirr,bull_ret,full_pr,full_dd
SIP_01375,SIP_01375: TACTICAL_M | CLENOW_MOMEN | 8Stk | TIME_DECAY | STEPUP_10_,TACTICAL_MACRO_90_10,CLENOW_MOMENTUM,8,TIME_DECAY_MOMENTUM,STEPUP_10_LIQUID_SWEEP,10.8,9.56,-8.18,7.28,4.68,7.13,10.41,-17.81,2.44,14.5,17.86,1.85,12.05
SIP_05575,SIP_05575: MULTI_ASSE | MOM_HURDLE_3 | 5Stk | TIME_DECAY | STEPUP_10_,MULTI_ASSET_BALANCED,MOM_HURDLE_30,5,TIME_DECAY_MOMENTUM,STEPUP_10_LIQUID_SWEEP,10.8,11.23,-6.52,8.51,7.36,9.81,16.53,-15.04,5.21,14.5,12.34,2.16,11.65
SIP_00302,SIP_00302: PURE_STOCK | MOM_HURDLE_2 | 5Stk | VAN_THARP_ | STEPUP_10_,PURE_STOCKS,MOM_HURDLE_20,5,VAN_THARP_3TIER,STEPUP_10_DIP_95,10.79,-0.74,-18.49,-0.58,14.33,16.78,32.97,-18.39,1.86,14.5,19.47,0.32,11.01
SIP_02561,SIP_02561: TACTICAL_M | CLENOW_MOMEN | 5Stk | ADAPTIVE_S | FLAT_SIP_N,TACTICAL_MACRO_80_20,CLENOW_MOMENTUM,5,ADAPTIVE_STRUCTURAL,FLAT_SIP_NO_DIP,10.79,7.09,-10.66,5.21,9.97,12.42,22.6,-18.01,2.24,14.5,14.81,2.02,8.66
SIP_04248,SIP_04248: MOMENTUM_R | MOM_HURDLE_2 | 8Stk | TIME_DECAY | STEPUP_15_,MOMENTUM_ROTATE_DYNAMIC,MOM_HURDLE_25,8,TIME_DECAY_MOMENTUM,STEPUP_15_DIP_95_SKIM,10.79,10.51,-7.24,8.15,7.29,9.74,16.36,-18.58,1.67,14.5,13.0,2.5,12.04
SIP_06673,SIP_06673: CORE_SATEL | MOM_HURDLE_2 | 4Stk | TIME_DECAY | STEPUP_15_,CORE_SATELLITE_70_30,MOM_HURDLE_25,4,TIME_DECAY_MOMENTUM,STEPUP_15_DIP_95_SKIM,10.79,14.1,-3.65,10.83,5.25,7.7,11.7,-15.56,4.69,14.5,10.87,2.24,12.67
SIP_09173,SIP_09173: DYNAMIC_RE | MOM_HURDLE_2 | 4Stk | TIME_DECAY | STEPUP_15_,DYNAMIC_REGIME_ROUTER,MOM_HURDLE_25,4,TIME_DECAY_MOMENTUM,STEPUP_15_DIP_95_SKIM,10.79,14.1,-3.65,10.83,5.25,7.7,11.7,-15.56,4.69,14.5,10.87,2.24,12.67
SIP_09879,SIP_09879: DYNAMIC_RE | SECTOR_LEAD_ | 3Stk | VAN_THARP_ | STEPUP_20_,DYNAMIC_REGIME_ROUTER,SECTOR_LEAD_ALPHA,3,VAN_THARP_3TIER,STEPUP_20_PYRAMID,10.79,10.2,-7.55,8.08,5.33,7.78,11.87,-19.27,0.98,14.5,15.56,0.3,9.85
SIP_01562,SIP_01562: TACTICAL_M | MOM_HURDLE_2 | 5Stk | ADAPTIVE_S | STEPUP_10_,TACTICAL_MACRO_90_10,MOM_HURDLE_20,5,ADAPTIVE_STRUCTURAL,STEPUP_10_DIP_95,10.79,3.8,-13.95,2.94,10.39,12.84,23.58,-18.49,1.76,14.5,18.25,1.94,12.08
SIP_01033,SIP_01033: PURE_STOCK | 52W_HIGH_PRO | 4Stk | SMART_STEP | STEPUP_15_,PURE_STOCKS,52W_HIGH_PROXIMITY,4,SMART_STEPLADDER,STEPUP_15_DIP_95_SKIM,10.79,8.74,-9.01,6.81,6.39,8.84,14.3,-13.35,6.9,14.5,16.49,2.23,11.14
